course_id,section_id,total_seats_count,open_seats_count,section_days,class_start_time,class_end_time,class_building,class_room
AASP100,0101,35,0,MWF,10:00am,10:50am,TYD2106,2106
AASP100,0201,35,0,MWF,12:00pm,12:50pm,SKN1115,1115
AASP100,0301,30,0,MWF,12:00pm,12:50pm,SQH1103,1103
AASP100,0401,30,0,TuTh,12:30pm,1:45pm,HBK0115,0115
AASP100,0501,33,0,TuTh,11:00am,12:15pm,ASY3215,3215
AASP100,0601,35,0,TuTh,2:00pm,3:15pm,KEY0102,0102
AASP100,0301,5,5,MWF,12:00pm,12:50pm,SQH1103,1103
AASP100,0401,5,4,TuTh,12:30pm,1:45pm,HBK0115,0115
ASP100H,0301,5,5,MWF,12:00pm,12:50pm,SQH1103,1103
ASP100H,0401,5,4,TuTh,12:30pm,1:45pm,HBK0115,0115
AASP187,0101,30,0,Tu,3:30pm,6:00pm,JMZ0125,0125
AASP200,0101,40,2,MWF,10:00am,10:50am,KEY0116,0116
AASP202,0101,30,0,TuTh,11:00am,12:15pm,ASY1213,1213
AASP202,0401,35,2,TuTh,2:00pm,3:15pm,SKN1115,1115
AASP202,0101,5,2,TuTh,11:00am,12:15pm,ASY1213,1213
ASP202H,0101,5,2,TuTh,11:00am,12:15pm,ASY1213,1213
AASP211,0101,120,1,W,3:00pm,5:30pm,ESJ2204,2204
AASP263,0101,40,21,MW,3:00pm,4:15pm,ASY3219,3219
AASP297,0101,20,18,TuTh,12:30pm,1:45pm,TLF1102,1102
ASP298L,0101,30,1,TuTh,12:30pm,1:45pm,KEY0121,0121
ASP298Z,0101,25,25,M,2:00pm,4:30pm,NNC0130,0130
AASP320,0101,25,13,TuTh,9:30am,10:45am,TYD2111,2111
AASP340,0101,30,5,TuTh,11:00am,12:15pm,SQH1121,1121
AASP386,0101,10,7,F,2:00pm,4:30pm,TLF1102,1102
AASP395,0101,20,20,TuTh,12:30pm,1:45pm,JMZ2125,2125
ASP398G,0101,25,12,TuTh,9:30am,10:45am,SQH2120,2120
ASP398N,0101,25,16,MW,3:30pm,4:45pm,TWS1105,1105
ASP398P,0101,25,21,MWF,2:00pm,2:50pm,JMZ0205,0205
ASP478B,0101,20,4,TuTh,3:30pm,4:45pm,TWS0221,0221
ASP478F,0101,15,7,MW,2:00pm,3:15pm,PAC1809,1809
ASP498B,0101,10,2,W,4:00pm,6:30pm,TLF2103,2103
ASP498U,0101,30,17,TuTh,9:30am,10:45am,HJP2118,2118
ASP499C,0101,30,18,Th,3:30pm,6:00pm,KEY0121,0121
ASP499N,0101,25,6,TuTh,9:30am,10:45am,KNI3202,3202
ASP499R,0101,5,2,TuTh,2:00pm,3:15pm,TYD1101,1101
AAST200,0101,40,1,TuTh,2:00pm,3:15pm,TWS0310,0310
AAST201,0101,40,1,TuTh,11:00am,12:15pm,KEY0126,0126
AAST233,0101,30,0,TuTh,9:30am,10:45am,TWS1107,1107
AAST262,0101,60,3,TuTh,12:30pm,1:45pm,JMZ0220,0220
AST298G,0101,30,5,TuTh,9:30am,10:45am,TLF1103,1103
AAST351,0101,30,1,TuTh,9:30am,10:45am,JMZ3205,3205
AAST394,0101,30,0,TuTh,3:30pm,4:45pm,TWS0320,0320
AAST421,0101,20,4,M,5:00pm,7:30pm,KEY0117,0117
AAST443,0101,20,0,MW,1:00pm,2:15pm,PLS1113,1113
AST498G,0101,20,1,TuTh,11:00am,12:15pm,LEF1171,1171
AST498Q,0101,20,2,Tu,5:00pm,7:30pm,ASY1213,1213
AST498W,0101,20,7,TuTh,2:00pm,3:15pm,JMZ2125,2125
AGNR301,0101,170,0,TuTh,3:30pm,4:45pm,JMZ0220,0220
AGST401,0101,8,2,Sa,8:30am,2:30pm,WREC1000,1000
AMSC420,0101,30,13,TuTh,11:00am,12:15pm,PHY2211,2211
AMSC460,0101,32,0,MWF,2:00pm,2:50pm,MTH0103,0103
AMSC460,0201,28,11,TuTh,9:30am,10:45am,MTH0307,0307
AMSC460,0301,28,8,TuTh,12:30pm,1:45pm,MTH0304,0304
AMSC460,0401,30,7,TuTh,2:00pm,3:15pm,MTH0106,0106
AMSC466,0101,30,7,TuTh,11:00am,12:15pm,MTH0106,0106
AMSC661,0101,20,2,MWF,11:00am,11:50am,MTH0403,0403
AMSC664,0101,20,16,TuTh,11:00am,12:15pm,CHE2136,2136
AMSC674,0101,25,14,TuTh,11:00am,12:15pm,MTH1311,1311
AMSC715,0101,20,11,TuTh,5:00pm,6:15pm,MTH0101,0101
AMSC764,0101,100,23,TuTh,11:00am,12:15pm,CHE2108,2108
AMST101,0101,15,0,MW,11:00am,11:50am,TWS0310,0310
AMST101,0102,15,0,MW,11:00am,11:50am,TWS0310,0310
AMST101,0103,15,0,MW,11:00am,11:50am,TWS0310,0310
AMST101,0104,15,0,MW,11:00am,11:50am,TWS0310,0310
AMST203,0101,25,0,MWF,1:00pm,1:50pm,TWS0134,0134
AMST205,0101,25,1,TuTh,9:30am,10:45am,TWS0328,0328
AMST210,0101,25,0,TuTh,12:30pm,1:45pm,TWS0330,0330
AMST213,0101,35,0,TuTh,9:30am,10:45am,TYD1102,1102
AMST260,0101,60,2,TuTh,3:30pm,4:45pm,ESJ2309,2309
MST298C,0101,40,1,TuTh,2:00pm,3:15pm,TWS0310,0310
MST298Q,0101,30,1,MWF,11:00am,11:50am,TWS0214,0214
AMST310,0101,20,0,TuTh,2:00pm,3:15pm,TWS0330,0330
AMST324,0101,30,0,TuTh,3:30pm,4:45pm,TWS0320,0320
MST328D,0101,30,13,TuTh,11:00am,12:15pm,TWS0330,0330
MST328K,0101,25,12,TuTh,9:30am,10:45am,SQH2120,2120
MST418K,0101,20,0,TuTh,11:00am,12:15pm,TYD1114,1114
AMST450,0101,15,11,TuTh,11:00am,12:15pm,TWS0328,0328
MST498E,0101,30,18,Th,3:30pm,6:00pm,KEY0121,0121
MST498G,0101,25,0,TuTh,11:00am,12:15pm,TWS0134,0134
MST498M,0101,15,7,MW,2:00pm,3:15pm,PAC1809,1809
MST498P,0101,25,0,TuTh,12:30pm,1:45pm,TWS0134,0134
AMST603,0101,15,11,Tu,4:00pm,6:40pm,TWS0328,0328
MST628C,0101,15,11,W,4:00pm,6:30pm,TWS0134,0134
MST628E,0101,15,7,Th,4:00pm,6:40pm,TWS0330,0330
ANSC101,0101,78,18,MWF,1:00pm,1:50pm,ESJ0215,0215
ANSC103,0101,20,2,M,10:00am,11:50am,ANS1144,1144
ANSC103,0102,20,1,Tu,2:00pm,3:50pm,ANS1144,1144
ANSC120,0101,15,3,M,12:00pm,12:50pm,ANS1144,1144
